Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-12-08;10:31:24
21.8;;22.1;;61.17;;13.07
22.4;;22.9;;60.80;;8.59
21.8;;22.3;;60.70;;8.11
21.8;;22.2;;61.17;;9.32

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;529.03;062.82;238.854
001;611.94;055.84;204.267
002;532.73;062.38;223.350
003;612.41;057.94;223.105
004;538.04;059.82;220.011
005;607.58;058.81;227.684
006;531.45;056.15;218.990
007;598.71;055.65;221.675
008;528.85;061.24;234.339
009;593.62;060.91;233.450
010;520.79;061.81;241.242
011;607.87;060.48;247.516
012;530.41;061.83;235.577
013;608.98;058.32;229.679
014;531.59;058.53;229.680
015;613.50;059.54;238.283
016;538.73;057.76;230.162
017;604.84;058.44;234.011
018;540.15;061.04;246.172
019;610.69;054.35;226.263
020;531.95;061.16;239.894
021;607.43;055.87;229.504
022;533.15;062.61;245.711
023;600.93;058.91;247.795
024;538.08;063.30;254.355
025;592.75;059.16;258.192
026;522.77;058.48;249.772
027;599.86;059.80;256.388
028;533.40;062.28;272.722
029;592.60;062.72;275.134
030;531.03;061.91;276.271
031;598.61;059.89;279.468
032;535.70;060.04;278.039
033;605.26;062.28;293.217
034;537.09;059.97;279.010
035;596.98;061.19;286.036
036;531.06;060.32;280.936
037;599.49;058.28;281.387
038;542.78;063.58;287.975
039;602.79;059.64;277.218
040;536.24;062.29;284.989
041;597.66;060.73;286.692
042;530.96;062.45;286.764
043;602.33;058.35;271.916
044;543.17;062.38;295.301
045;597.49;060.09;287.155
046;530.73;061.28;284.630
047;605.11;060.35;288.841
048;539.76;064.51;288.413
049;598.20;060.97;284.492
050;530.72;062.04;284.550
051;602.90;056.90;278.234
052;544.49;058.19;277.530
053;600.76;058.77;285.247
054;544.38;062.06;299.622
055;610.65;062.44;315.005
056;531.67;062.10;302.527
057;610.81;061.31;294.762
058;531.95;061.31;285.540
059;603.77;060.02;280.165
060;548.27;062.74;282.722
061;594.37;063.14;282.160
062;539.71;063.68;272.778
063;593.71;058.94;253.087
064;634.37;061.89;264.654
065;559.42;060.07;259.399
066;634.18;062.49;267.892
067;550.91;062.94;268.775
068;630.63;064.79;287.461
069;553.37;064.34;289.683
070;628.63;061.98;286.212
071;553.17;062.78;287.170
072;635.75;060.89;284.214
073;550.10;061.69;285.692
074;626.74;063.30;299.739
075;564.76;063.82;303.040
076;634.91;063.05;298.575
077;554.62;064.06;293.351
078;628.33;061.76;292.869
079;552.35;065.65;298.163
080;627.60;065.21;310.115
081;562.91;064.70;301.293
082;623.87;061.04;293.914
083;559.97;064.71;306.771
084;631.76;067.21;310.424
085;559.32;062.37;297.390
086;623.88;060.29;293.393
087;563.68;061.80;287.572
088;643.62;061.79;291.078
089;556.92;065.14;303.530
090;621.73;062.49;294.265
091;549.30;063.43;294.693
092;632.85;063.26;296.931
093;566.31;063.31;292.082
094;626.74;065.26;300.118
095;567.01;062.13;288.880
096;635.79;061.02;283.296
097;554.15;063.05;293.011
098;629.97;058.93;271.929
099;560.87;063.99;283.229
100;636.27;060.54;278.050
101;553.62;063.94;287.344
102;626.23;063.35;286.191
103;558.89;063.52;284.882
104;632.14;063.01;284.609
