Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-22;12:00:49
23.2;;23.4;;61.19;;12.10
23.7;;24.1;;60.78;;8.47
23.2;;23.6;;60.70;;7.87
23.2;;23.4;;61.21;;8.83

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;533.30;062.04;156.434
001;612.79;053.88;155.092
002;535.56;061.31;168.513
003;613.84;056.93;170.557
004;540.63;058.71;169.460
005;610.30;057.05;172.661
006;534.58;055.77;168.209
007;601.25;054.06;168.423
008;531.68;058.23;182.192
009;595.98;058.15;180.684
010;524.01;060.21;185.469
011;610.59;059.75;184.142
012;533.48;059.84;183.784
013;611.57;056.76;179.513
014;534.88;057.10;178.596
015;614.78;058.68;181.638
016;541.99;056.57;175.103
017;607.10;056.49;175.515
018;543.28;059.13;182.240
019;612.95;053.06;172.344
020;534.91;059.29;186.869
021;609.30;054.39;174.672
022;536.48;060.94;190.751
023;603.19;057.47;187.184
024;540.93;061.70;193.002
025;595.26;059.03;184.206
026;525.54;056.04;181.430
027;601.62;058.16;190.480
028;535.48;061.33;197.063
029;594.13;060.35;198.377
030;534.91;059.76;191.351
031;599.73;058.20;190.164
032;538.54;058.30;188.914
033;606.21;061.50;201.094
034;538.91;058.72;191.548
035;599.20;059.49;193.317
036;533.71;058.78;187.569
037;600.63;056.79;188.490
038;545.31;062.02;191.569
039;604.26;057.05;187.769
040;538.00;060.62;189.300
041;599.18;059.69;183.896
042;533.33;061.23;188.902
043;604.14;056.08;184.331
044;545.61;061.03;192.635
045;598.92;058.94;188.030
046;534.04;059.67;186.721
047;606.72;058.42;191.800
048;541.13;062.90;197.602
049;599.65;059.58;194.263
050;534.85;060.08;191.786
051;605.24;054.94;181.359
052;545.87;056.15;177.281
053;601.98;056.97;185.824
054;546.52;059.24;196.712
055;612.20;060.47;205.774
056;535.51;059.93;197.283
057;613.27;059.21;192.107
058;534.42;058.90;188.259
059;605.14;057.39;191.043
060;548.74;060.41;192.565
061;595.05;061.74;189.050
062;541.44;061.29;186.348
063;594.56;056.80;175.271
064;638.51;061.44;176.287
065;561.80;057.86;174.513
066;638.79;060.54;179.057
067;551.59;061.25;185.655
068;635.06;062.21;192.811
069;555.28;062.50;181.000
070;633.08;059.40;182.193
071;555.33;061.91;181.759
072;639.57;058.96;180.409
073;552.74;059.85;178.482
074;629.65;060.66;193.203
075;567.78;062.76;189.734
