Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-15;16:53:08
23.2;;23.4;;61.17;;13.43
23.7;;24.2;;60.80;;9.68
23.2;;23.6;;60.72;;9.80
23.2;;23.5;;61.21;;10.04

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;537.72;062.28;49.842
001;616.56;053.19;46.104
002;540.27;060.17;50.294
003;616.63;056.93;51.333
004;545.55;058.18;49.391
005;613.92;057.81;49.713
006;538.78;055.65;48.705
007;604.96;054.05;48.782
008;536.27;057.68;53.763
009;598.97;058.44;53.862
010;528.22;060.21;54.660
011;613.51;059.16;56.251
012;537.28;059.39;56.926
013;614.71;056.63;53.818
014;539.35;056.47;52.914
015;618.13;057.44;55.592
016;546.67;055.78;53.629
017;611.00;056.71;52.958
018;548.13;058.95;54.128
019;616.98;053.20;50.871
020;539.79;057.81;58.380
021;613.90;054.22;53.331
022;541.13;059.75;57.736
023;608.03;056.06;54.991
024;545.57;060.01;60.248
025;599.36;057.20;57.249
026;531.20;055.37;56.270
027;605.58;057.24;58.957
028;540.22;060.08;61.141
029;598.32;058.79;65.128
030;539.67;059.58;63.910
031;603.44;056.77;68.627
032;542.96;057.89;66.771
033;610.53;060.01;71.771
034;543.44;057.63;70.234
035;603.18;057.87;74.336
036;538.46;057.92;73.217
037;605.03;057.23;68.693
038;549.69;061.05;72.817
039;608.15;057.02;68.764
040;542.60;059.76;71.641
041;603.18;058.02;72.051
042;537.53;060.16;72.688
043;608.99;055.84;68.633
044;550.45;060.78;72.844
045;602.03;059.05;69.834
046;539.18;058.91;69.746
047;611.54;058.82;73.643
048;544.94;062.56;77.766
049;604.23;059.84;74.133
050;538.87;059.70;75.355
051;609.39;054.83;71.165
052;551.00;056.29;70.359
053;604.97;057.09;71.981
054;551.37;060.31;72.301
055;615.55;060.21;78.250
056;540.00;060.02;71.547
057;616.98;058.90;72.529
058;538.63;057.50;73.478
059;609.22;057.30;72.216
060;553.12;060.86;70.149
061;598.59;061.24;70.546
062;545.76;059.99;68.598
063;598.51;056.75;61.277
064;644.70;060.89;64.168
065;565.93;057.20;65.863
066;644.46;059.82;67.404
067;554.91;061.27;68.148
068;639.91;060.51;75.463
069;559.36;061.38;72.389
070;637.78;058.93;73.200
071;559.18;061.57;69.007
072;645.68;058.15;71.051
073;556.53;059.88;69.806
074;635.49;060.58;73.186
075;571.30;062.94;71.411
076;643.34;060.49;72.470
077;561.34;061.42;72.221
078;636.77;059.87;70.984
079;558.94;062.34;73.827
080;638.97;062.45;75.572
081;569.56;062.08;72.452
082;633.20;059.80;68.769
083;567.78;062.49;71.666
084;640.67;062.37;76.627
085;565.39;060.22;70.512
086;634.72;058.01;70.234
087;569.30;060.11;67.526
088;653.88;059.97;65.934
089;564.44;064.41;69.055
090;631.10;060.00;69.512
091;557.14;061.65;67.634
092;642.60;061.03;66.671
093;574.20;060.31;65.882
094;636.99;061.79;66.039
095;572.64;060.22;65.393
096;645.04;058.82;61.902
097;562.64;061.44;62.547
098;638.34;055.15;61.078
099;569.16;061.32;61.003
100;644.89;058.56;60.624
101;562.61;061.46;59.091
102;635.03;060.99;59.376
103;567.89;061.02;59.031
104;641.06;059.73;57.718
105;562.85;060.25;55.657
106;639.06;059.67;54.893
107;565.06;059.92;52.816
108;654.97;059.98;54.636
109;555.82;062.10;54.952
110;634.40;061.20;54.314
111;553.33;061.95;55.220
112;644.10;060.44;55.703
113;558.69;062.45;57.174
114;648.76;058.03;53.170
115;559.21;060.11;53.494
116;635.31;061.62;55.060
117;565.68;059.05;51.426
118;633.86;059.46;51.600
119;561.91;060.94;53.060
120;641.84;060.29;53.480
121;559.56;062.08;54.757
122;641.96;060.65;54.973
123;553.32;058.77;54.344
124;637.13;058.46;52.997
125;560.06;063.37;57.146
126;635.02;063.49;60.931
127;567.13;063.58;54.340
128;573.13;057.30;48.729
