Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-21;12:22:09
22.6;;22.8;;61.17;;12.10
23.2;;23.6;;60.80;;8.23
22.6;;23.0;;60.72;;7.74
22.6;;22.9;;61.19;;9.32

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;538.10;062.28;149.102
001;616.78;053.45;153.673
002;541.01;059.99;167.852
003;617.38;056.92;169.704
004;546.26;057.03;169.384
005;614.31;056.92;171.083
006;540.05;054.32;167.641
007;605.54;053.45;166.968
008;537.09;058.01;179.840
009;600.06;057.04;183.166
010;529.35;059.23;183.590
011;614.58;058.13;188.257
012;538.75;058.37;184.169
013;616.14;055.31;182.275
014;540.15;055.81;178.822
015;619.17;057.66;181.396
016;547.53;055.62;170.765
017;612.19;055.98;173.209
018;548.81;058.94;175.154
019;617.43;052.79;169.059
020;540.90;058.69;182.748
021;614.36;053.56;173.829
022;542.26;060.00;188.674
023;608.75;056.73;187.076
024;546.48;060.81;190.543
025;600.29;057.17;185.335
026;531.87;055.47;175.644
027;606.83;057.68;184.156
028;541.66;060.31;191.291
029;599.72;059.02;194.706
030;540.52;058.17;190.308
031;604.62;056.60;186.270
032;543.50;056.83;186.068
033;611.52;060.02;195.839
034;544.25;058.05;182.880
035;604.03;058.39;186.722
036;539.22;057.87;180.981
037;605.75;056.88;177.238
038;550.35;060.89;186.598
039;609.20;056.48;179.324
040;543.10;059.26;182.425
041;603.92;057.26;181.095
042;538.20;059.06;182.375
043;609.33;055.04;173.186
044;550.84;061.06;179.945
045;603.02;057.81;179.125
046;539.30;057.98;177.212
047;612.45;058.91;174.809
048;545.60;062.06;184.818
049;604.97;058.25;181.629
050;539.77;058.88;180.388
051;609.80;054.03;168.574
052;550.86;055.48;164.868
053;605.88;055.92;176.227
054;551.46;058.55;182.757
055;616.20;059.51;189.236
056;540.05;058.83;183.510
057;617.83;057.78;178.390
058;539.43;058.09;173.416
059;609.67;056.54;173.118
060;553.61;060.08;175.124
061;599.45;060.49;173.522
062;545.93;060.43;169.320
063;598.79;056.37;158.459
064;644.42;059.99;159.340
065;567.12;057.95;156.415
066;644.16;058.95;162.201
067;556.83;060.18;166.319
068;641.44;061.15;170.776
069;560.46;062.21;160.444
070;638.39;058.92;161.536
071;560.36;060.94;163.761
072;645.80;058.28;158.306
