Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-22;12:12:18
23.2;;23.4;;61.17;;12.71
23.7;;24.2;;60.80;;8.35
23.2;;23.6;;60.70;;8.11
23.2;;23.5;;61.19;;9.07

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;536.98;061.04;76.865
001;616.12;053.89;74.336
002;539.53;060.83;80.676
003;616.65;056.41;81.419
004;544.76;057.61;79.327
005;613.50;056.95;82.147
006;538.45;055.39;78.996
007;604.49;053.28;79.677
008;535.56;059.55;83.417
009;598.51;057.57;86.061
010;527.85;058.68;87.524
011;613.02;059.30;86.918
012;536.77;058.00;88.056
013;614.85;056.06;83.163
014;538.29;056.76;83.306
015;618.16;058.03;84.055
016;545.67;056.22;81.645
017;610.61;056.35;82.485
018;547.40;059.25;83.692
019;616.50;053.75;77.961
020;539.11;059.75;84.758
021;613.03;053.99;81.560
022;540.17;060.12;88.836
023;606.99;057.87;86.224
024;544.43;061.00;91.013
025;598.72;057.98;86.868
026;530.08;057.10;83.197
027;605.04;057.87;89.021
028;539.33;060.45;92.768
029;597.73;059.71;92.989
030;538.59;059.10;91.126
031;603.14;056.85;90.682
032;542.21;057.94;88.111
033;609.89;059.98;96.435
034;542.45;058.78;89.884
035;602.57;058.80;92.450
036;537.45;058.18;89.631
037;604.18;056.95;89.322
038;548.73;061.41;92.559
039;607.70;057.42;89.291
040;541.57;059.84;91.645
041;602.18;058.26;92.521
042;536.17;060.03;93.566
043;608.03;056.33;88.347
044;549.34;061.10;94.562
045;601.68;058.03;93.719
046;537.39;058.95;92.651
047;610.86;059.12;93.462
048;544.15;063.30;96.619
049;603.19;059.40;96.721
050;537.90;059.48;96.866
051;608.89;054.43;89.457
052;549.69;055.81;88.843
053;604.98;056.30;95.386
054;549.85;059.33;101.324
055;614.92;060.04;107.408
056;538.85;059.98;101.824
057;615.95;058.69;101.897
058;537.93;058.10;99.346
059;608.37;057.45;100.450
060;552.70;060.23;101.085
061;598.38;060.83;101.748
062;544.74;061.15;99.938
063;598.02;056.37;93.838
064;642.67;061.31;95.884
065;564.45;058.47;94.107
066;642.43;060.00;98.039
067;554.67;061.12;101.506
068;638.69;062.22;106.013
069;558.00;062.11;100.652
070;636.40;060.66;98.641
071;557.49;061.62;101.094
072;643.65;057.95;99.174
073;555.02;059.29;100.041
074;633.88;060.85;103.923
075;570.09;062.28;105.678
076;641.40;061.39;104.531
077;559.31;061.50;103.955
078;634.92;059.44;103.643
079;557.79;062.75;104.823
080;637.08;063.11;107.697
081;568.42;062.42;107.124
082;631.22;060.01;101.257
083;566.46;063.51;105.310
084;638.03;064.72;109.231
085;563.78;061.13;101.344
086;632.63;058.63;101.235
087;567.87;059.02;101.157
088;652.24;059.95;99.072
089;563.23;063.05;104.275
090;629.48;060.23;101.557
091;555.65;061.21;101.030
092;640.63;061.03;103.907
093;572.41;061.18;104.296
094;634.96;063.00;109.173
095;571.44;060.34;105.811
096;643.40;058.36;101.134
097;560.91;062.18;101.726
098;636.63;056.48;95.267
099;567.31;061.56;98.400
100;644.00;058.87;96.300
101;560.54;061.89;99.678
102;633.17;061.89;99.336
103;566.73;060.80;100.633
104;639.81;060.81;100.226
105;560.84;061.92;97.037
106;637.68;060.11;97.260
107;563.70;059.73;97.415
108;653.62;060.78;96.314
109;554.54;061.96;99.301
110;632.97;061.10;98.420
111;551.73;062.06;98.332
112;643.15;061.10;97.784
113;557.56;063.52;102.833
114;647.43;059.21;97.665
115;557.71;060.36;100.486
116;633.53;062.22;103.045
117;564.60;059.90;96.840
118;632.70;060.42;99.046
119;560.43;061.03;101.875
120;640.66;060.92;102.948
121;558.52;061.98;101.477
122;641.16;061.48;100.535
123;552.38;060.17;97.740
124;635.91;057.62;102.141
125;558.68;063.36;105.107
126;634.17;062.29;107.179
127;565.53;063.19;104.061
128;570.06;057.63;102.847
129;554.56;059.73;104.702
130;581.99;056.70;106.445
131;553.42;059.03;102.749
132;579.96;057.00;103.434
133;551.90;058.44;103.493
134;567.98;055.30;102.402
135;552.52;056.98;98.711
136;577.67;057.25;105.916
137;541.43;057.89;100.716
