Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-22;10:35:59
22.5;;22.7;;61.17;;12.10
23.0;;23.5;;60.80;;8.23
22.5;;22.9;;60.72;;7.50
22.5;;22.8;;61.19;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;531.24;063.61;215.793
001;611.07;054.93;212.549
002;533.24;062.23;230.899
003;612.24;057.71;233.453
004;538.53;058.72;233.392
005;607.72;058.07;236.890
006;532.13;056.04;231.972
007;599.51;055.02;227.965
008;528.23;060.85;242.208
009;593.00;059.86;245.363
010;521.46;061.11;254.110
011;607.44;060.56;255.075
012;531.09;060.44;252.988
013;610.45;056.71;248.233
014;532.30;057.81;246.433
015;613.27;059.16;246.616
016;539.81;057.72;238.718
017;605.11;057.34;238.481
018;540.53;060.11;244.240
019;610.92;053.80;234.617
020;533.03;060.57;251.108
021;608.63;054.51;239.092
022;533.50;061.56;257.760
023;602.56;058.78;249.781
024;538.33;062.47;260.060
025;594.45;059.09;250.835
026;524.39;057.09;243.963
027;600.21;058.86;255.858
028;533.03;062.06;265.871
029;591.72;061.34;268.732
030;532.20;060.36;260.175
031;597.35;058.06;260.093
032;536.46;059.05;255.295
033;604.15;061.18;275.338
034;536.01;059.61;261.830
035;596.24;060.25;263.793
036;531.99;059.74;253.975
037;598.80;058.27;253.851
038;542.62;063.18;259.343
039;602.87;057.80;254.638
040;536.09;060.96;258.437
041;597.16;059.58;257.758
042;530.66;062.83;255.236
043;602.77;056.55;247.986
044;543.95;061.99;260.250
045;596.79;059.45;255.413
046;531.99;059.25;255.224
047;605.87;059.94;254.981
048;539.12;064.20;261.918
049;598.35;059.81;262.556
050;531.82;062.07;250.813
051;604.13;055.72;238.395
052;544.36;057.25;232.616
053;601.03;057.63;246.205
054;544.83;061.03;255.987
055;610.29;061.52;265.294
056;534.67;060.43;254.332
057;611.90;059.45;249.436
058;532.65;059.72;243.796
059;603.22;058.76;240.160
060;547.37;062.10;242.583
061;592.93;062.54;239.628
062;540.22;062.32;232.298
063;592.92;057.55;220.775
064;638.10;061.15;222.016
065;562.08;059.39;216.064
066;638.16;061.13;221.161
067;551.50;062.00;228.246
068;634.51;063.73;234.759
069;555.63;063.49;222.493
070;631.26;060.78;224.426
071;555.33;063.07;223.628
072;639.93;059.75;220.212
073;552.32;061.17;219.986
074;629.53;061.98;235.592
075;568.39;063.57;235.043
076;636.67;061.40;238.013
077;556.70;063.12;232.128
078;630.41;060.63;234.168
079;554.43;063.63;237.649
080;632.47;064.47;237.974
081;565.67;063.43;237.589
082;626.88;059.71;233.592
083;563.60;063.37;240.447
084;634.06;064.89;247.873
085;560.46;061.34;230.865
086;628.54;058.92;228.826
087;564.74;060.70;225.769
088;647.24;060.51;226.040
089;559.66;064.72;235.698
090;624.65;061.09;228.749
091;552.60;062.15;226.262
092;636.36;062.30;229.003
093;568.97;061.82;230.494
094;630.52;064.26;240.474
095;568.03;061.36;233.964
096;638.78;059.71;222.747
097;557.71;062.04;225.493
098;631.51;057.16;213.413
099;563.92;062.67;216.696
100;639.32;059.78;212.783
101;556.55;063.02;217.901
102;628.96;062.75;214.436
103;563.42;062.30;214.308
104;634.12;062.05;216.439
105;557.39;062.37;211.822
106;632.65;061.86;209.495
107;560.47;061.02;206.302
108;649.10;061.00;206.077
109;550.97;062.82;208.831
110;628.64;062.01;206.475
111;548.66;063.66;201.226
112;638.36;062.27;200.208
113;553.18;064.91;208.035
114;643.10;060.03;197.997
115;554.27;061.10;200.936
116;628.75;063.02;207.467
117;561.77;060.16;192.347
118;628.29;061.06;195.880
119;556.78;062.62;199.949
120;636.23;061.29;204.410
121;554.84;062.58;200.590
122;637.13;062.96;195.601
123;547.91;061.33;191.547
124;633.14;059.03;193.473
125;555.36;063.89;203.430
126;630.17;063.66;201.689
127;561.69;064.93;195.665
128;569.49;059.02;187.357
129;553.56;060.86;192.355
130;580.27;059.12;188.676
131;551.25;060.75;187.869
132;577.85;057.45;192.650
133;550.32;061.03;181.661
134;566.83;056.31;181.281
135;550.72;057.68;179.848
136;576.45;058.79;183.386
137;539.96;058.97;179.865
138;575.29;057.74;192.949
139;550.50;062.89;192.152
140;585.63;057.59;184.804
141;554.23;059.22;181.200
142;574.95;057.31;183.855
143;538.20;059.56;188.063
144;580.96;057.89;187.310
145;554.70;057.80;177.347
146;578.46;058.07;185.397
147;548.29;057.69;176.367
148;581.49;059.18;184.831
149;550.51;060.05;184.633
150;577.74;058.96;190.946
151;547.18;057.28;173.924
152;576.90;057.67;181.343
153;554.73;057.97;179.240
154;578.69;055.34;176.771
155;552.01;059.34;180.324
156;572.61;057.24;180.688
157;549.32;061.18;186.444
158;575.45;058.53;186.203
159;547.17;057.91;181.613
160;591.65;057.02;189.835
161;552.34;060.45;188.157
162;570.45;055.49;180.069
163;553.32;063.03;186.093
164;575.38;057.20;187.309
165;542.13;058.28;183.574
166;578.29;054.44;180.385
167;546.26;059.99;186.441
168;578.33;057.97;179.271
169;545.60;061.35;188.581
170;586.46;055.03;180.482
171;536.45;059.80;183.140
172;581.15;056.26;182.364
173;547.76;057.85;179.747
174;574.84;055.25;180.479
175;549.73;057.98;184.400
176;572.29;056.96;183.327
177;548.78;059.39;183.399
178;577.50;057.31;188.814
179;547.92;059.18;182.505
180;579.71;054.36;175.945
181;548.47;060.06;191.587
182;579.82;057.46;188.495
183;546.34;059.67;187.378
184;590.59;056.85;182.081
185;551.34;055.74;171.896
186;581.53;057.78;185.484
187;543.82;058.92;190.287
188;584.35;059.29;193.341
189;546.73;061.14;188.786
190;578.98;058.48;182.787
191;545.35;059.54;176.625
192;521.32;062.46;181.531
193;614.35;061.33;183.152
194;527.10;062.43;185.428
195;640.48;061.14;189.060
196;527.19;061.49;187.097
197;613.09;057.50;184.643
198;523.79;060.83;189.151
199;600.00;059.45;185.994
200;527.27;060.41;185.196
201;601.17;058.47;185.203
202;525.92;059.08;186.617
203;611.29;059.73;192.846
204;531.73;061.48;194.241
205;611.80;060.32;196.506
206;528.87;059.95;195.756
