Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-01-13;10:20:50
22.3;;22.5;;61.19;;12.22
22.8;;23.3;;60.76;;8.35
22.3;;22.7;;60.70;;7.99
22.3;;22.6;;61.19;;9.07

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;526.32;063.65;439.396
001;606.97;055.30;337.033
002;529.62;062.17;354.637
003;608.41;058.54;347.388
004;532.33;059.54;357.724
005;603.84;058.44;350.612
006;526.49;056.33;337.288
007;595.22;055.77;329.950
008;523.14;060.32;358.405
009;589.11;059.13;363.446
010;516.11;061.42;369.942
011;603.82;060.27;366.441
012;524.49;060.39;358.248
013;604.26;057.65;341.312
014;526.07;058.05;340.096
015;609.93;059.12;348.956
016;533.68;058.02;331.194
017;599.08;056.95;353.300
018;535.03;060.80;354.593
019;606.35;054.11;321.447
020;527.26;060.26;333.656
021;604.22;055.34;341.231
022;526.58;062.07;382.122
023;597.13;058.28;367.624
024;531.97;062.89;376.458
025;588.51;058.76;376.777
026;517.82;057.51;367.410
027;593.84;059.07;383.491
028;528.21;062.15;396.191
029;588.76;061.14;404.155
030;526.83;060.95;402.564
031;593.67;058.98;406.702
032;530.57;059.55;409.971
033;600.70;061.32;434.316
034;531.22;060.05;412.890
035;594.68;060.37;428.137
036;525.88;059.79;426.173
037;595.06;058.68;417.301
038;537.37;063.05;437.715
039;600.05;058.30;421.101
040;530.37;062.02;437.927
041;590.85;060.14;425.454
042;525.47;062.18;427.794
043;599.01;057.22;409.888
044;540.64;062.37;440.361
045;593.77;059.42;434.959
046;528.21;060.22;439.109
047;602.01;059.91;444.591
048;535.58;064.28;457.315
049;593.47;060.90;455.872
050;527.55;061.64;455.539
051;598.13;055.96;427.357
052;540.24;057.74;420.557
053;596.97;058.33;424.705
054;541.72;061.21;439.718
055;606.27;061.26;462.456
056;529.63;061.58;401.777
057;608.04;060.49;413.593
058;527.58;060.06;414.581
059;600.73;059.04;406.015
060;544.80;062.06;399.455
061;588.00;062.49;397.035
062;535.66;062.36;377.482
063;588.54;058.07;339.593
064;633.10;062.61;343.130
065;559.96;059.75;350.701
066;632.17;062.13;370.638
067;547.24;062.10;374.390
068;628.84;064.17;388.271
069;552.10;063.47;384.290
070;626.29;061.25;386.317
071;551.52;062.64;374.514
072;633.69;060.14;355.691
073;548.85;061.06;356.584
074;623.74;062.59;377.268
075;564.83;063.40;384.562
076;630.17;062.34;389.524
077;552.61;063.00;389.203
078;626.50;061.15;389.367
079;551.40;064.83;398.739
080;627.52;064.73;409.564
081;561.24;064.05;393.682
082;621.98;060.27;376.020
083;558.26;064.34;387.005
084;629.09;065.84;396.523
085;555.76;061.83;374.605
086;621.99;060.06;370.319
087;559.61;061.21;369.259
088;643.08;060.79;368.142
089;554.38;064.83;390.536
090;619.15;061.80;383.255
091;547.87;062.52;374.635
092;629.76;063.13;363.379
093;563.82;062.68;355.685
094;624.35;064.77;362.967
095;563.92;061.59;353.873
096;631.79;060.01;344.729
097;552.05;062.91;340.003
098;624.93;057.74;316.285
099;557.57;063.21;329.735
100;632.25;060.28;320.523
101;551.33;063.19;331.879
102;622.29;063.37;321.686
103;557.53;062.13;322.095
104;628.99;062.59;312.215
105;551.89;062.60;307.306
106;627.12;062.11;306.568
107;554.45;061.54;307.434
108;643.35;061.56;307.167
109;545.33;063.73;310.090
110;622.28;063.11;310.794
111;542.76;063.51;309.448
112;633.63;062.60;302.997
113;547.79;065.25;311.042
114;636.94;060.24;297.952
115;547.99;061.58;291.455
116;623.68;063.36;293.874
117;554.07;060.77;285.871
118;622.39;061.22;283.772
119;550.85;062.66;282.613
120;630.47;062.24;294.805
121;548.36;063.91;292.055
122;631.01;062.35;293.500
123;542.75;061.12;281.023
124;628.42;059.99;279.126
125;548.58;064.20;290.240
126;624.37;064.16;287.266
127;555.33;065.17;279.645
128;565.96;059.61;249.110
129;551.44;061.20;260.569
130;577.61;058.76;255.815
131;548.65;061.29;251.893
132;574.76;057.71;256.500
133;547.52;059.82;258.969
134;563.34;055.93;253.289
135;548.94;057.95;245.567
136;572.38;059.04;258.613
137;538.13;059.07;248.599
138;572.37;058.91;259.745
139;546.84;062.21;268.135
140;582.01;057.66;252.354
141;552.05;059.84;245.856
142;571.97;057.38;248.784
143;536.59;060.39;252.959
144;576.80;058.92;256.290
145;552.31;057.57;239.471
146;576.05;059.04;247.889
147;545.45;058.04;243.759
148;577.58;059.15;256.438
149;547.46;060.71;251.781
150;575.06;060.32;257.501
151;544.37;056.90;239.677
152;573.19;057.75;247.544
153;551.82;058.36;248.632
154;575.24;055.32;247.880
155;548.65;059.96;251.749
156;569.07;057.49;251.330
157;547.11;062.24;259.117
158;572.67;058.13;259.358
159;543.74;058.18;251.774
160;589.33;057.14;260.614
161;550.23;061.04;257.510
162;567.47;055.06;253.174
163;550.30;062.50;267.057
164;572.43;057.43;264.541
165;540.29;058.96;263.790
166;575.19;055.27;263.574
167;542.67;060.61;278.751
168;575.39;058.11;272.751
169;543.73;062.00;284.993
170;584.18;055.40;267.113
171;533.99;059.72;273.507
172;578.69;056.56;262.186
173;544.64;057.90;264.677
174;571.82;055.27;263.359
175;547.49;058.71;262.646
176;569.43;056.70;268.505
177;546.23;058.94;271.700
178;574.56;057.89;274.159
