Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-15;16:59:11
23.3;;23.5;;61.19;;13.43
23.8;;24.3;;60.78;;8.95
23.3;;23.7;;60.68;;8.83
23.3;;23.6;;61.23;;9.80

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;520.50;062.51;405.440
001;604.10;054.27;361.848
002;525.67;060.72;401.217
003;604.16;057.09;402.125
004;530.95;058.03;405.375
005;599.41;057.69;406.157
006;523.55;055.25;392.770
007;591.67;054.52;396.004
008;517.98;059.89;427.030
009;585.63;058.35;436.937
010;511.87;060.81;437.447
011;600.31;059.54;453.583
012;519.21;059.90;463.252
013;601.86;056.41;434.167
014;522.56;056.91;436.159
015;605.21;058.60;440.753
016;529.59;056.97;423.768
017;595.73;057.28;424.402
018;530.78;059.99;441.050
019;603.86;053.17;410.450
020;520.00;059.80;454.765
021;597.48;054.94;439.512
022;583.72;060.84;362.488
023;651.40;057.00;340.910
024;528.14;062.05;472.533
025;584.78;057.82;467.201
026;510.19;057.21;451.721
027;593.54;058.15;465.368
028;524.23;061.44;479.083
029;580.35;060.18;509.989
030;522.21;059.90;502.362
031;648.44;058.00;419.027
032;583.23;058.69;427.177
033;658.78;061.13;451.573
034;585.17;058.51;444.237
035;648.01;059.94;462.944
036;580.89;058.70;455.459
037;649.48;056.62;444.730
038;528.80;062.72;565.899
039;653.12;056.97;437.567
040;590.41;060.29;452.300
041;649.94;058.82;452.665
042;582.94;060.54;458.563
043;652.18;055.90;434.476
044;596.89;061.62;465.108
045;651.02;057.67;452.205
046;526.07;059.75;547.775
047;658.88;059.07;463.874
048;595.95;062.46;497.419
049;651.71;059.82;473.684
050;522.70;060.78;568.008
051;654.21;054.78;438.665
052;592.60;056.59;440.271
053;652.63;057.28;443.147
054;559.10;060.21;518.574
055;664.98;060.26;480.829
056;587.36;059.92;454.604
057;662.95;059.83;443.300
058;584.84;059.14;436.180
059;655.50;057.69;432.328
060;602.44;061.27;419.720
061;590.70;061.42;512.078
062;532.28;062.10;494.199
063;586.29;056.90;445.958
064;626.92;062.04;466.647
065;555.51;058.98;466.784
066;626.62;061.36;484.175
067;548.33;061.29;489.693
068;626.08;063.22;512.088
069;550.27;062.49;503.903
070;684.70;060.18;411.889
071;546.57;062.26;505.212
072;689.45;059.43;406.361
073;546.36;060.35;503.830
074;622.57;061.90;521.171
075;561.06;063.33;518.820
076;629.46;061.21;519.434
077;547.79;062.13;534.139
078;618.28;060.97;516.891
