Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-12-08;10:07:07
21.5;;21.7;;61.21;;11.98
22.0;;22.5;;60.80;;8.11
21.5;;22.0;;60.72;;7.62
21.5;;21.8;;61.19;;9.07

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;531.44;064.55;207.240
001;614.10;055.91;174.369
002;535.13;062.36;188.027
003;614.28;058.90;183.498
004;539.24;059.83;186.971
005;610.99;058.84;189.544
006;533.18;057.47;180.655
007;602.49;056.26;183.902
008;529.52;061.09;197.612
009;596.91;059.71;199.998
010;521.96;062.13;200.350
011;611.04;060.88;204.815
012;531.21;061.51;200.487
013;612.44;058.16;194.228
014;532.98;058.33;195.144
015;615.71;059.69;200.258
016;540.38;057.68;191.764
017;608.51;058.11;195.096
018;541.60;061.39;205.053
019;614.01;055.07;186.671
020;533.53;061.23;199.679
021;610.50;056.02;189.182
022;534.30;063.42;201.858
023;604.62;059.02;202.891
024;539.12;063.27;212.577
025;596.31;058.79;209.499
026;524.66;058.14;203.645
027;602.45;059.22;210.976
028;533.93;062.88;217.365
029;595.09;061.82;223.999
030;533.36;061.54;218.380
031;600.64;059.22;223.364
032;536.68;060.09;221.554
033;607.41;063.04;230.079
034;537.61;060.29;219.340
035;600.68;061.04;225.875
036;532.67;059.96;221.584
037;602.14;059.02;219.228
038;543.85;063.71;228.465
039;605.56;058.94;220.111
040;536.96;061.94;225.148
041;600.36;061.04;220.696
042;531.46;062.30;224.621
043;605.50;057.92;211.835
044;544.25;062.71;225.826
045;599.87;060.78;219.630
046;532.78;061.32;216.989
047;608.73;060.57;220.934
048;539.70;064.93;223.069
049;601.34;060.53;217.575
050;533.11;062.00;215.449
051;606.01;056.83;210.328
052;544.91;058.61;204.497
053;603.00;058.94;211.751
054;545.29;061.54;223.735
055;613.08;062.27;235.193
056;534.22;061.80;221.930
057;614.36;060.97;215.653
058;533.49;060.60;209.122
059;606.60;059.89;204.558
060;547.98;062.90;204.787
061;596.32;063.14;204.606
062;540.36;063.18;196.675
063;595.73;058.21;187.901
064;640.31;062.22;183.405
065;563.98;060.31;177.179
066;640.14;062.12;185.164
067;553.11;062.82;184.802
068;636.69;063.52;200.468
069;557.27;063.88;200.124
070;634.23;062.17;196.477
071;557.39;063.29;196.511
072;641.66;060.87;195.003
073;554.12;061.91;195.108
074;631.28;062.92;208.092
075;570.05;064.24;205.887
076;639.92;062.95;202.554
077;558.69;063.91;203.369
078;632.78;061.62;204.500
079;556.67;064.59;209.245
080;635.66;064.86;210.996
081;567.94;064.86;207.366
082;629.50;061.16;203.818
083;565.17;064.62;212.725
084;636.39;066.50;221.208
085;562.52;062.32;207.625
086;631.17;060.41;202.307
087;566.78;062.02;200.977
088;650.57;061.16;199.173
089;561.21;065.14;207.741
090;627.01;063.03;199.374
091;554.21;063.45;201.449
092;638.50;063.66;201.625
093;571.28;062.56;201.727
094;633.14;064.71;203.568
095;570.38;062.13;197.619
096;641.46;060.04;194.329
097;559.59;063.61;195.683
098;634.55;058.37;183.586
099;565.91;064.04;191.501
100;641.50;060.78;186.455
101;558.99;063.77;191.059
102;631.30;063.55;189.846
103;565.07;062.54;190.437
104;637.37;062.65;187.733
105;558.78;063.08;186.884
106;635.48;063.39;176.087
107;561.82;062.26;173.748
108;651.34;062.22;170.574
109;552.69;064.21;175.101
110;630.78;063.44;173.666
111;550.34;064.63;166.510
112;641.06;063.07;167.213
113;555.29;065.56;170.903
114;645.30;061.11;163.580
115;555.93;062.26;167.345
116;631.67;064.32;171.436
117;562.79;060.99;163.076
118;630.60;061.74;162.113
119;558.27;063.33;165.199
120;638.89;062.32;165.712
121;555.95;063.65;165.272
122;639.84;062.35;162.963
123;550.25;061.57;157.915
124;634.94;060.68;155.818
125;556.65;064.90;163.989
126;632.09;064.50;163.166
127;563.58;065.47;158.281
128;572.09;060.48;143.583
129;556.04;061.26;150.098
130;583.82;058.72;148.510
131;553.32;061.25;145.337
132;580.96;059.15;145.823
133;552.27;061.41;143.049
134;569.73;057.22;138.386
135;553.51;058.60;137.349
136;579.04;059.20;141.404
137;542.29;059.36;138.842
138;578.77;059.05;145.980
139;552.37;063.48;149.259
140;588.58;058.30;143.821
141;556.45;060.76;137.918
142;577.46;057.40;141.438
143;540.36;060.62;144.970
144;583.40;058.97;143.717
145;557.48;059.03;133.759
146;581.72;059.73;138.427
147;549.94;058.26;136.091
148;584.13;060.32;139.493
149;552.56;060.79;141.425
150;580.29;060.63;144.353
151;548.93;058.46;133.006
152;579.66;058.54;137.305
153;556.48;059.55;134.083
154;581.73;056.28;134.579
155;553.69;060.29;137.740
156;575.62;058.23;138.615
157;551.62;062.32;138.597
158;578.72;058.64;139.960
159;549.01;059.19;136.565
160;595.27;057.86;145.588
161;554.46;062.27;143.949
162;573.26;056.95;137.232
163;555.04;062.83;148.988
164;578.38;057.86;145.503
165;545.27;059.60;140.552
166;581.40;056.61;137.116
167;548.69;061.20;144.185
168;581.41;058.32;145.143
169;548.14;062.67;146.587
170;589.15;055.96;140.375
171;539.31;060.56;143.242
172;584.47;057.11;142.227
173;549.67;058.96;140.215
174;577.67;056.64;141.051
175;552.59;058.76;140.149
176;574.94;057.86;143.729
177;550.73;059.74;144.450
178;580.29;057.76;145.382
179;550.48;060.10;140.214
180;581.79;055.61;136.789
181;550.32;061.11;141.910
182;582.67;057.76;142.128
183;548.40;061.07;140.524
184;593.70;057.56;140.100
185;553.35;055.56;132.291
186;583.96;058.17;137.338
187;545.53;059.86;136.130
188;586.93;058.75;140.302
189;548.73;060.24;138.122
190;580.84;058.77;136.272
