Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-15;16:45:45
23.0;;23.3;;61.19;;13.07
23.6;;24.1;;60.78;;9.56
23.1;;23.5;;60.70;;9.20
23.1;;23.4;;61.19;;10.16

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;528.58;062.25;227.644
001;609.57;053.88;206.428
002;531.98;060.88;226.481
003;611.54;057.33;225.317
004;536.43;057.94;231.072
005;606.84;057.13;229.181
006;530.64;055.23;221.218
007;596.75;054.83;223.256
008;528.32;059.89;236.446
009;591.64;058.06;245.411
010;520.00;060.43;245.736
011;605.85;059.60;256.324
012;528.27;059.23;262.128
013;607.62;056.32;246.466
014;530.85;056.41;245.471
015;611.11;058.43;250.012
016;537.66;056.89;238.663
017;603.74;056.79;241.186
018;538.58;059.82;248.187
019;609.31;053.01;235.044
020;531.67;059.78;253.779
021;605.10;054.29;252.268
022;531.59;060.86;260.264
023;599.56;057.63;249.911
024;536.67;061.59;269.809
025;591.22;057.49;266.982
026;521.43;056.33;258.810
027;597.81;057.78;271.523
028;532.32;061.20;274.503
029;590.66;060.07;288.514
030;530.67;060.07;285.657
031;594.91;058.52;299.734
032;535.12;057.97;307.131
033;603.13;061.23;318.831
034;535.00;059.19;309.770
035;595.93;059.48;326.347
036;530.69;058.92;318.840
037;597.06;057.31;315.390
038;542.01;062.22;325.559
039;601.97;057.52;311.911
040;534.78;060.96;320.218
041;597.08;058.19;327.462
042;530.32;060.76;324.048
043;601.25;056.62;311.530
044;543.46;062.31;324.061
045;595.76;058.94;320.887
046;531.34;060.03;321.075
047;604.70;059.35;332.956
048;537.28;063.49;349.468
049;597.48;060.01;338.463
050;532.21;061.19;334.705
051;603.00;055.53;321.195
052;543.38;057.06;318.484
053;599.09;057.68;324.168
054;544.00;060.24;334.845
055;608.43;061.11;349.438
056;532.85;060.99;329.008
057;610.06;058.98;332.453
058;532.66;059.04;328.052
059;602.49;058.64;323.919
060;546.26;062.22;315.761
061;590.46;061.89;320.490
062;539.43;061.82;307.421
063;590.99;056.92;281.115
064;634.58;061.55;294.895
065;559.96;058.63;294.022
066;633.56;061.10;306.155
067;550.19;061.18;311.928
068;632.13;062.66;326.013
069;553.81;062.28;324.819
070;629.07;060.61;321.563
071;552.67;062.23;317.525
072;635.61;059.30;320.103
073;550.17;060.89;318.514
074;626.75;061.70;332.068
075;565.43;063.04;331.433
076;634.29;061.86;326.579
077;554.75;062.58;329.972
078;626.34;061.22;324.343
079;552.87;063.50;331.550
080;628.63;063.80;339.799
081;562.95;063.44;330.541
082;622.90;059.70;319.265
083;561.30;063.60;326.279
084;630.64;065.27;340.682
085;557.57;061.12;325.576
086;624.44;059.08;317.381
087;560.80;060.30;315.498
088;642.50;059.93;312.781
089;556.82;064.45;322.101
090;622.00;060.36;315.700
091;550.14;061.63;313.603
092;631.99;061.94;311.318
093;566.92;061.28;299.358
094;626.44;063.67;299.421
095;565.96;060.42;296.030
096;635.68;059.15;289.205
097;553.96;062.00;295.071
098;627.41;056.84;278.767
099;560.68;062.57;286.388
100;634.49;059.06;277.104
101;553.81;062.23;272.767
102;625.15;062.16;270.358
103;560.25;062.20;263.551
104;631.35;061.77;263.798
105;553.46;061.44;259.219
106;628.46;061.27;252.538
107;557.15;060.56;251.186
108;645.56;060.01;255.994
109;547.45;062.31;257.967
110;624.53;062.00;255.017
111;544.64;062.01;256.404
112;635.55;061.22;252.616
113;550.24;064.11;260.925
114;640.27;059.48;247.995
115;550.59;060.39;248.760
116;624.98;061.87;261.164
117;556.71;059.75;240.179
118;625.51;059.94;245.568
119;553.16;061.05;250.134
120;633.87;061.34;251.562
121;551.38;063.10;248.014
122;633.25;061.27;252.661
123;545.15;059.36;249.868
124;628.85;059.45;247.755
125;551.92;063.91;268.207
126;626.20;063.90;286.222
127;558.03;064.68;256.101
128;565.46;058.69;226.852
129;549.55;060.39;232.815
130;577.41;057.68;232.961
131;549.00;059.24;237.474
132;574.69;057.10;236.210
133;545.65;058.89;237.153
134;563.07;055.18;231.709
135;547.17;057.32;226.204
136;572.72;057.63;242.560
137;536.44;057.84;235.703
138;571.45;058.32;248.361
139;547.05;062.12;251.041
140;581.81;057.59;242.879
141;550.31;058.80;239.158
142;571.69;055.97;245.438
143;535.28;059.82;247.301
144;575.82;057.83;261.518
145;549.48;056.91;243.376
146;575.91;057.30;253.553
147;542.94;057.79;244.611
148;577.35;058.89;255.437
149;545.55;059.68;261.618
150;573.92;059.75;267.586
151;542.20;056.17;254.912
152;573.88;057.15;258.538
153;549.70;057.98;255.422
154;575.63;054.83;260.608
155;546.03;059.14;271.681
156;569.87;056.75;270.469
157;545.14;061.02;283.240
158;572.62;057.03;283.584
159;541.92;057.76;276.592
160;589.14;056.24;289.077
161;547.94;061.04;287.187
162;566.48;055.20;284.625
163;547.51;062.10;303.783
164;573.60;057.21;293.398
165;537.27;058.18;293.371
166;575.95;054.61;284.551
167;542.25;059.90;304.522
168;575.35;057.23;303.180
169;542.44;061.10;306.415
170;584.82;054.58;289.846
